Index,Model,Calib,Variant,H,Q,AUC,PR_AUC,Recall@FPR,Brier,ECE,EventRate_Test,N_Test,RUN
NASDAQ,LightGBM,cal_sigmoid,MKT,5,0.85,0.8289605426444044,0.5897241564214983,0.6750902527075813,0.1273259588720425,0.05447500502532979,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,CNT,5,0.85,0.8185691420351985,0.5659735030921954,0.631768953068592,0.1601847433289629,0.14415084947276957,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,CNT,5,0.85,0.8185691420351985,0.5659735030921954,0.631768953068592,0.13045918654237135,0.04371358366819563,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,MEAN,5,0.85,0.8198718129512635,0.6023129295569091,0.6606498194945848,0.1473685911443349,0.1321740365025121,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,MEAN,5,0.85,0.8198718129512635,0.6023129295569091,0.6606498194945848,0.12783932769715112,0.05836270186825105,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,MAX,5,0.85,0.8171395532490975,0.5946333057447015,0.703971119133574,0.14790192509517602,0.13279235657598515,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,MAX,5,0.85,0.8171395532490975,0.5946333057447015,0.703971119133574,0.1255451935556023,0.03611079697080487,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,P90,5,0.85,0.7959195904783394,0.5870131139217852,0.6462093862815884,0.14425037899474996,0.12825392313610082,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,P90,5,0.85,0.7959195904783394,0.5870131139217852,0.6462093862815884,0.12772336305374635,0.04174354149685481,0.212913143735588,1301,FILTER_OFF
NASDAQ,HAR(OLS_score),NA,HAR,5,0.85,0.8320136225180506,0.6319981111083118,,,,0.212913143735588,1301,FILTER_OFF
